concept_id,jlpt_level,expression,reading,meaning,source,source_id,review_status
n5-vocab-1178590-381da4d0,N5,鉛筆,えんぴつ,pencil,Jonathan Waller JLPT vocabulary list,1178590,seed
n5-vocab-1486650-7f02ae8f,N5,おいしい,おいしい,delicious,Jonathan Waller JLPT vocabulary list,1486650,seed
n5-vocab-1407460-60813fff,N5,多い,おおい,many,Jonathan Waller JLPT vocabulary list,1407460,seed
n5-vocab-1588880-8fa5a63f,N5,大きい,おおきい,big,Jonathan Waller JLPT vocabulary list,1588880,seed
n5-vocab-1412890-3a2de0af,N5,大きな,おおきな,big,Jonathan Waller JLPT vocabulary list,1412890,seed
n5-vocab-1414220-57ed89b2,N5,大勢,おおぜい,great number of people,Jonathan Waller JLPT vocabulary list,1414220,seed
n5-vocab-1002650-20079477,N5,お母さん,おかあさん,(honorable) mother,Jonathan Waller JLPT vocabulary list,1002650,seed
n5-vocab-1001710-669019c6,N5,お菓子,おかし,"sweets, candy",Jonathan Waller JLPT vocabulary list,1001710,seed
n5-vocab-1001820-3e015d0a,N5,お金,おかね,money,Jonathan Waller JLPT vocabulary list,1001820,seed
n5-vocab-1223640-248a353e,N5,起きる,おきる,to get up,Jonathan Waller JLPT vocabulary list,1223640,seed
n5-vocab-1421850-96845304,N5,置く,おく,to put,Jonathan Waller JLPT vocabulary list,1421850,seed
n5-vocab-1179330-6c4661d6,N5,奥さん,おくさん,(honorable) wife,Jonathan Waller JLPT vocabulary list,1179330,seed
n5-vocab-1329015-f843b001,N5,お酒,おさけ,"alcohol, rice wine",Jonathan Waller JLPT vocabulary list,1329015,seed
n5-vocab-1299685-101d46a0,N5,お皿,おさら,"plate, dish",Jonathan Waller JLPT vocabulary list,1299685,seed
n5-vocab-1002320-786e95f0,N5,おじいさん,おじいさん,"grandfather, male senior citizen",Jonathan Waller JLPT vocabulary list,1002320,seed
n5-vocab-1236900-f2fa049f,N5,教える,おしえる,"to teach, to tell",Jonathan Waller JLPT vocabulary list,1236900,seed
n5-vocab-2261490-bc3f2c7a,N5,おじさん,おじさん,"uncle, middle aged gentleman",Jonathan Waller JLPT vocabulary list,2261490,seed
n5-vocab-1180470-ce8facdf,N5,押す,おす,"to push, to stamp something",Jonathan Waller JLPT vocabulary list,1180470,seed
n5-vocab-1421970-a082687f,N5,遅い,おそい,"late, slow",Jonathan Waller JLPT vocabulary list,1421970,seed
n5-vocab-1002430-edca336b,N5,お茶,おちゃ,green tea,Jonathan Waller JLPT vocabulary list,1002430,seed
n5-vocab-1002100-75a36b03,N5,お手洗い,おてあらい,bathroom,Jonathan Waller JLPT vocabulary list,1002100,seed
n5-vocab-1002590-89807c7c,N5,お父さん,おとうさん,(honorable) father,Jonathan Waller JLPT vocabulary list,1002590,seed
n5-vocab-1581930-db32745b,N5,弟,おとうと,younger brother,Jonathan Waller JLPT vocabulary list,1581930,seed
n5-vocab-1419990-2fd7d45c,N5,男,おとこ,Man,Jonathan Waller JLPT vocabulary list,1419990,seed
n5-vocab-1420010-6f664d3d,N5,男の子,おとこのこ,Boy,Jonathan Waller JLPT vocabulary list,1420010,seed
n5-vocab-1576050-f0f38260,N5,一昨日,おととい,day before yesterday,Jonathan Waller JLPT vocabulary list,1576050,seed
n5-vocab-1576060-b75778f0,N5,一昨年,おととし,year before last,Jonathan Waller JLPT vocabulary list,1576060,seed
n5-vocab-1414170-6f5049e2,N5,大人,おとな,Adult,Jonathan Waller JLPT vocabulary list,1414170,seed
n5-vocab-1002610-3707072a,N5,おなか,おなか,stomach,Jonathan Waller JLPT vocabulary list,1002610,seed
n5-vocab-1451750-7c134ec8,N5,同じ,おなじ,same,Jonathan Waller JLPT vocabulary list,1451750,seed
n5-vocab-1001830-c6f43a8c,N5,お兄さん,おにいさん,(honorable) older brother,Jonathan Waller JLPT vocabulary list,1001830,seed
n5-vocab-1001990-af378a4c,N5,お姉さん,おねえさん,(honorable) older sister,Jonathan Waller JLPT vocabulary list,1001990,seed
n5-vocab-1002330-12d94877,N5,おばあさん,おばあさん,"grandmother, female senior-citizen",Jonathan Waller JLPT vocabulary list,1002330,seed
n5-vocab-2261500-03d7b157,N5,伯母さん,おばさん,Aunt,Jonathan Waller JLPT vocabulary list,2261500,seed
n5-vocab-2220600-f3474850,N5,お風呂,おふろ,Bath,Jonathan Waller JLPT vocabulary list,2220600,seed
n5-vocab-1513065-7a073616,N5,お弁当,おべんとう,boxed lunch,Jonathan Waller JLPT vocabulary list,1513065,seed
n5-vocab-1206050-dad2d162,N5,覚える,おぼえる,to remember,Jonathan Waller JLPT vocabulary list,1206050,seed
n5-vocab-1002120-ae5d1778,N5,おまわりさん,おまわりさん,friendly term for policeman,Jonathan Waller JLPT vocabulary list,1002120,seed
n5-vocab-1335750-cdfb7768,N5,重い,おもい,Heavy,Jonathan Waller JLPT vocabulary list,1335750,seed
n5-vocab-1533580-2568873e,N5,おもしろい,おもしろい,Interesting,Jonathan Waller JLPT vocabulary list,1533580,seed
n5-vocab-1174340-3c5bb8f2,N5,泳ぐ,およぐ,to swim,Jonathan Waller JLPT vocabulary list,1174340,seed
n5-vocab-1589500-ae004421,N5,降りる,おりる,"to get off, to descend",Jonathan Waller JLPT vocabulary list,1589500,seed
n5-vocab-1589600-d7960dc7,N5,終る,おわる,to finish,Jonathan Waller JLPT vocabulary list,1589600,seed
n5-vocab-1183720-cdea0172,N5,音楽,おんがく,Music,Jonathan Waller JLPT vocabulary list,1183720,seed
n5-vocab-1344930-980a922a,N5,女,おんな,Woman,Jonathan Waller JLPT vocabulary list,1344930,seed
n5-vocab-1344970-e6afab39,N5,女の子,おんなのこ,Girl,Jonathan Waller JLPT vocabulary list,1344970,seed
n5-vocab-1203620-31a803c7,N5,外国,がいこく,foreign country,Jonathan Waller JLPT vocabulary list,1203620,seed
n5-vocab-1203650-70f16781,N5,外国人,がいこくじん,Foreigner,Jonathan Waller JLPT vocabulary list,1203650,seed
n5-vocab-1198550-2120ff50,N5,会社,かいしゃ,Company,Jonathan Waller JLPT vocabulary list,1198550,seed
n5-vocab-1203090-7cb27c41,N5,階段,かいだん,Stairs,Jonathan Waller JLPT vocabulary list,1203090,seed
n5-vocab-1589730-a771d4f9,N5,買い物,かいもの,Shopping,Jonathan Waller JLPT vocabulary list,1589730,seed
n5-vocab-1473740-bdb125e5,N5,買う,かう,to buy,Jonathan Waller JLPT vocabulary list,1473740,seed
n5-vocab-1512130-8ea4b03d,N5,返す,かえす,to return something,Jonathan Waller JLPT vocabulary list,1512130,seed
